type,raid_group_name,member_name,character_name,character_class,character_is_alt,character_inactive_at,character_note,sort_order,item_name,item_id,is_offspec,note,received_at,import_id,item_note,item_prio_note,item_tier,item_tier_label,created_at,updated_at
received,,,Arandalo,Druid,0,,,0,"Wildfury Greatstaff",30021,0,,"2021-12-13 00:00:00",1639389256-21-Aranda,,,,,"2021-12-21 15:49:22",
received,,,Arandalo,Druid,0,,,0,"Leggings of the Vanquished Defender",30246,0,,"2022-01-05 00:00:00",1641375654-33-Aranda,,,,,"2022-01-05 04:33:54",
received,,,Botpriest,Priest,0,,,0,"Earring of Soulful Meditation",30665,1,,"2021-12-13 00:00:00",1639386119-8-Botprie,,,,,"2021-12-21 15:49:22",
received,,,Botpriest,Priest,0,,,0,"Cowl of the Grand Engineer",29986,0,,"2022-01-03 00:00:00",1641201222-17-Botpri,,,,,"2022-01-03 16:48:14",
received,,,Eshreal,Paladin,0,,,0,"Razor-Scale Battlecloak",30098,0,,"2021-11-17 00:00:00",1637137931-6-Eshreal,,,,,"2021-11-17 04:59:45",
received,,,Eshreal,Paladin,0,,,0,"Pauldrons of the Argent Sentinel",30084,1,,"2021-12-22 00:00:00",1640167549-46-Eshrea,,,,,"2021-12-22 04:35:55",
received,,,Eshreal,Paladin,0,,,0,"Krakken-Heart Breastplate",30102,0,,"2021-12-22 00:00:00",1640167580-47-Eshrea,,,,,"2021-12-22 04:35:55",
received,,,Eshreal,Paladin,0,,,0,"Girdle of the Invulnerable",30096,1,,"2021-12-22 00:00:00",1640167603-49-Eshrea,,,,,"2021-12-22 04:35:55",
received,,,Eshreal,Paladin,0,,,0,"Glowing Breastplate of Truth",30065,1,,"2021-12-22 00:00:00",1640167624-50-Eshrea,,,,,"2021-12-22 04:35:55",
received,,,Evanpri,Priest,0,,,0,"Boots of the Shifting Nightmare",30050,1,,"2022-01-17 00:00:00",1642404237-4-Evanpri,,,,,"2022-01-17 04:58:45",
received,,,Evanpri,Priest,0,,,0,"Band of the Vigilant",33058,0,,"2022-01-17 00:00:00",1642405544-7-Evanpri,,,,,"2022-01-17 04:58:45",
received,,,Evanpri,Priest,0,,,0,"Soul-Strider Boots",30100,0,,"2022-01-17 00:00:00",1642408098-0-Evanpri,,,,,"2022-01-17 04:58:45",
received,,,Evanpri,Priest,0,,,0,"Leggings of the Vanquished Defender",30246,0,,"2022-01-17 00:00:00",1642408119-1-Evanpri,,,,,"2022-01-17 04:58:45",
received,,,Evanpri,Priest,0,,,0,"Pauldrons of the Vanquished Defender",30249,0,,"2022-01-17 00:00:00",1642412449-14-Evanpr,,,,,"2022-01-17 04:58:45",
received,,Imoto,Imotoe,Hunter,0,"2021-10-27 04:13:12",,1,"Glaive of the Pit",28774,1,,"2021-08-16 00:00:00",1629099520-7-Imoto,,,,,"2021-08-22 16:00:28","2021-08-29 21:56:32"
received,,Imoto,Imotoe,Hunter,0,"2021-10-27 04:13:12",,2,"Chestguard of the Fallen Hero",29755,1,,"2021-08-16 00:00:00",1629099777-10-Imoto,,,,,"2021-08-22 16:00:28","2021-08-29 21:56:32"
received,,,Kinksauce,Paladin,0,,,0,"Gloves of the Vanquished Champion",30239,1,,"2022-01-17 00:00:00",1642408170-2-Kinksau,,,,,"2022-01-17 04:58:45",
received,,,Kinksauce,Paladin,0,,,0,"Fel-Steel Warhelm",29983,1,,"2022-01-17 00:00:00",1642412475-16-Kinksa,,,,,"2022-01-17 04:58:45",
received,,,Kinksauce,Paladin,0,,,0,"Bands of the Celestial Archer",30026,1,,"2022-01-17 00:00:00",1642414939-31-Kinksa,,,,,"2022-01-17 04:58:45",
received,,Mogul,Mogul,Shaman,0,"2021-10-27 04:13:00","Chest/wrist pieces can only be replaced after someone in the guild can craft belt of blasting. Set bonus from LW set is better until belt.",0,"Brute Cloak of the Ogre-Magi",28797,0,,"2021-08-02 00:00:00",1627884038-5-Mogul,,,,,"2021-08-02 02:59:26",
received,,Mogul,Mogul,Shaman,0,"2021-10-27 04:13:00","Chest/wrist pieces can only be replaced after someone in the guild can craft belt of blasting. Set bonus from LW set is better until belt.",0,"Windshear Boots",28810,0,,"2021-08-08 00:00:00",,,,,,"2021-08-09 13:50:26",
